date, pm25, o3, no2, so2, co
01-10-2021,142,15,8,2,5
02-10-2021,122,17,11,2,4
03-10-2021,98,16,15,2,5
04-10-2021,110,17,14,2,5
05-10-2021,130,18,7,2,4
06-10-2021,116,24,9,3,5
07-10-2021,156,24,22,3,8
08-10-2021,166,23,18,4,9
09-10-2021,145,20,28,3,12
10-10-2021,164,14,31,5,16
11-10-2021,158,19,28,6,17
12-10-2021,157,30,15,10,11
13-10-2021,161,45,17,1,4
14-10-2021,160,43,35,2,14
15-10-2021,169,70,40,2,15
16-10-2021,199,32,37,3,13
17-10-2021,189,88,16,2,8
18-10-2021,66,50,9,2,3
19-10-2021,85, ,19,1,6
20-10-2021,167,25,27,3,18
21-10-2021,77,18,32,2,21
22-10-2021,81,21,28,1,19
23-10-2021,89,29,20,1,19
24-10-2021,83,22,14,1,18
25-10-2021,72,11,24,2,20
26-10-2021,65,13,25,2,19
27-10-2021,70,24,24,4,19
28-10-2021,124,47,33,2,21
29-10-2021,190,28,25,2,10
30-10-2021,188,42,27,4,12
31-10-2021,187,31,29,3,9
01-11-2021,190,32,30,3,9
02-11-2021,190,33,30,4,10
03-11-2021,194,37,20,4,13
04-11-2021,365,25,16,4,12
05-11-2021,439,31,20,4,10
06-11-2021,363,32,23,4,11
07-11-2021,284,33,27,4,13
08-11-2021,271,35,24,5,11
09-11-2021,253,26,28,5,12
10-11-2021,238,5,36,12,28
11-11-2021,318,12,32,7,22
12-11-2021,407,34,30,11,15
13-11-2021,296,29,32,12,13
14-11-2021,204,34,30,11,15
15-11-2021,243,25,29,14,13
16-11-2021,244,33,40,13,15
17-11-2021,212,31,51,13,19
18-11-2021,249,33,41,9,13
19-11-2021,250,36,45,12,14
20-11-2021,255,35,28,7,9
21-11-2021,246,32,15,8,11
22-11-2021,195,39,28,2,7
23-11-2021,181,21,46,4,11
24-11-2021,201,32,45,7,16
25-11-2021,244,26,64,6,23
26-11-2021,286,21,40,6,16
27-11-2021,275,30,31,3,15
28-11-2021,247,27,29,2,11
29-11-2021,249,40,21,1,8
30-11-2021,197,21,37,2,13
01-12-2021,226,13,26,2,10
02-12-2021,258,16,22,1,10
03-12-2021,194,28,20,3,13
04-12-2021,235,18,4,3,13
05-12-2021,203,19,25,1,11
06-12-2021,191,13,17,1,7
07-12-2021,165,24,23,6,11
08-12-2021,160,53,36,5,11
09-12-2021,181,44,27,4,8
10-12-2021,180,24,34,6,19
11-12-2021,168,27,39,6,24
12-12-2021,190,56,38,7,30
13-12-2021,221,42,35,6,28
14-12-2021,248,28,33,5,26
15-12-2021,251,22,37,4,22
16-12-2021,253,23,17,4,16
17-12-2021,200,39,14,4,16
18-12-2021,184,16,16,4,15
19-12-2021,172,102,27,11,19
20-12-2021,204,14,43,13,27
21-12-2021,338,9,47,11,30
22-12-2021,344,24,38,5,15
23-12-2021,235,3,24,3,13
24-12-2021,207,14,44,10,20
25-12-2021,294,33,27,4,16
26-12-2021,242,19,29,7,17
27-12-2021,191,8,30,5,14
28-12-2021,195,9,20,9,11
29-12-2021,189,28,26,6,12
30-12-2021,220,16,29,7,15
31-12-2021,244,37,26,7,15
01-01-2022,271,16,23,7,13
02-01-2022,281,20,25,3,11
01-07-2021,134,17,7,3,3
02-07-2021,143,15,7,3,3
03-07-2021,112,30,12,3,3
04-07-2021,128,27,7,3,3
05-07-2021,126,27,5,3,2
06-07-2021,118,25,4,3,3
07-07-2021,129,24,9,3,5
08-07-2021,144,24,6,3,4
09-07-2021,134,24,4,3,4
10-07-2021,103,24,3,3,3
11-07-2021,116,24,4,3,5
12-07-2021,104,9,11,5,9
13-07-2021,101,21,13,3,5
14-07-2021,104,23,13,2,8
15-07-2021,116,12,9,3,5
16-07-2021,117,16,6,3,4
17-07-2021,139,15,7,2,4
18-07-2021,115,24,10,3,8
19-07-2021,70,24,7,3,7
20-07-2021,75,24,7,3,7
21-07-2021,97,22,6,7,14
22-07-2021,94,23,7,3,10
23-07-2021,119,5,8,3,8
24-07-2021,131,6,5,3,7
25-07-2021,112,7,7,3,7
26-07-2021,134,10,5,3,5
27-07-2021,127,10,5,3,6
28-07-2021,218,10,6,3,7
29-07-2021,82,11,7,3,10
30-07-2021,102,12,6,3,10
31-07-2021,91,9,9,3,10
01-08-2021,110,13,10,3,10
02-08-2021,119,13,8,2,11
03-08-2021,109,12,8,4,12
04-08-2021,91,22,11,8,9
05-08-2021,128,12,11,2,8
06-08-2021,132,1,10,2,8
07-08-2021,126,8,6,1,7
08-08-2021,127,4,9,1,6
09-08-2021,111,2,7,3,4
10-08-2021,120,2,6,3,4
11-08-2021,94,3,6,2,6
12-08-2021,103,12,10,2,7
13-08-2021,111,18,7,3,4
14-08-2021,115,25,5,2,3
15-08-2021,111,26,6,3,4
16-08-2021,117,31,9,2,5
17-08-2021,139,42,13,4,6
18-08-2021,157,181,19,3,9
19-08-2021,162,21,12,3,6
20-08-2021,119,12,10,4,4
21-08-2021,82,3,6,2,4
22-08-2021,84,4,8,2,6
23-08-2021,89,5,14,3,7
24-08-2021,106,5,13,2,6
25-08-2021,123,5,13,2,5
26-08-2021,121,5,12,2,5
27-08-2021,130,16,10,2,5
28-08-2021,107,8,21,3,5
29-08-2021,136,9,24,2,4
30-08-2021,88,20,33,3,7
31-08-2021,63,3,10,2,9
01-09-2021,86,12,16,2,6
02-09-2021,89,7,9,3,5
03-09-2021,88,5,3,3,6
04-09-2021,85,9,16,3,5
05-09-2021,96,18,18,2,6
06-09-2021,135,10,17,3,6
07-09-2021,127,9,10,2,4
08-09-2021,94,26,9,4,5
09-09-2021,90,11,9,3,3
10-09-2021,90,5,12,3,4
11-09-2021,53,6,11,5,5
12-09-2021,71,5,15,3,8
13-09-2021,111,9,15,3,5
14-09-2021,81,9,10,3,3
15-09-2021,76,3,12,3,4
16-09-2021,75,12,13,3,4
17-09-2021,86,20,6,5,6
18-09-2021,87,13,4,2,4
19-09-2021,91,9,8,3,5
20-09-2021,90,11,8,2,4
21-09-2021,95,5,9,3,5
22-09-2021,96,12,7,3,5
23-09-2021,85,12,10,3,6
24-09-2021,93,16,10,2,5
25-09-2021,126,15,5,2,4
26-09-2021,105,22,7,2,8
27-09-2021,133,12,11,3,6
28-09-2021,124,10,4,13,10
29-09-2021,96,27,6,12,3
30-09-2021,100,14,16,3,7
01-04-2021,135,23,9,13,6
02-04-2021,118,41,25,9,7
03-04-2021,133,26,25,10,11
04-04-2021,153,27,43,8,11
05-04-2021,160,32,24,11,8
06-04-2021,176,25,12,4,6
07-04-2021,158,20,13,11,6
08-04-2021,141,13,20,11,10
09-04-2021,147,10,21,10,7
10-04-2021,154,7,18,10,8
11-04-2021,153,9,35,11,12
12-04-2021,171,6,21,9,7
13-04-2021,167,5,16,9,7
14-04-2021,189,5,20,7,7
15-04-2021,161,5,28,15,11
16-04-2021,176,11,13,4,5
17-04-2021,92,11,18,8,5
18-04-2021,143,10,22,9,6
19-04-2021,165,11,20,10,5
20-04-2021,155,11,7,7,3
21-04-2021,106,10,9,7,3
22-04-2021,135,10,20,7,4
23-04-2021,130,9,8,8,3
24-04-2021,130,9,16,16,8
25-04-2021,160,9,44,10,12
26-04-2021,175,26,37,10,14
27-04-2021,185,46,40,13,10
28-04-2021,198,32,9,5,5
29-04-2021,167,58,16,11,6
30-04-2021,183,46,8,5,3
01-05-2021,150,33,12,5,4
02-05-2021,139,26,8,7,3
03-05-2021,164,25,11,6,3
04-05-2021,137,41,7,6,5
05-05-2021,152,34,5,5,3
06-05-2021,134,60,10,6,3
07-05-2021,129,46,13,5,2
08-05-2021,136,42,7,5,3
09-05-2021,136,41,8,8,8
10-05-2021,143,31,6,5,1
11-05-2021,117,31,8,5,1
12-05-2021,99,32,6,4, 
13-05-2021,95,40,5,4,1
14-05-2021,111,31,11,7,8
15-05-2021,120,53,15,5,5
16-05-2021,144,32,21,6,6
17-05-2021,161,12,7,3,3
18-05-2021,78,5,8,3,5
19-05-2021,124,7,20,7,4
20-05-2021,86,50,27,4,7
21-05-2021,80,22,14,10,7
22-05-2021,77,20,9,4,11
23-05-2021,183,31,7,5,5
24-05-2021,132,37,12,7,3
25-05-2021,124,40,23,5,10
26-05-2021,125,36,17,5,1
27-05-2021,122,25,5,4,2
28-05-2021,94,23,4,4,1
29-05-2021,71,23,4,13,1
30-05-2021,71,18,18,8,2
31-05-2021,117,22,14,5,1
01-06-2021,89,30,18,5, 
02-06-2021,120,42,13,6,1
03-06-2021,127,31,12,7,1
04-06-2021,135,34,11,5,3
05-06-2021,129,24,16,6,2
06-06-2021,113,34,19,7,5
07-06-2021,136,14,12,5,22
08-06-2021,138,15,11,4,4
09-06-2021,127,16,9,11,8
10-06-2021,150,23,10,5,6
11-06-2021,113,18,7,6,5
12-06-2021,114,17,5,7,2
13-06-2021,77,17,7,6,1
14-06-2021,105,14,6,4,5
15-06-2021,116,17,8,4,2
16-06-2021,114,18,9,3,7
17-06-2021,130,14,4,3,2
18-06-2021,112,19,5,3,3
19-06-2021,96,20,3,3,1
20-06-2021,96,23,7,3,4
21-06-2021,119,25,9,3,2
22-06-2021,150,31,12,6,5
23-06-2021,170,25,7,3,3
24-06-2021,146,23,11,3,2
25-06-2021,145,30,12,3,4
26-06-2021,125,43,12,3,4
27-06-2021,157,39,13,3,5
28-06-2021,155,36,18,4,5
29-06-2021,163,21,14,3,4
30-06-2021,160,18,5,3,2
04-01-2021,141,2,18,2,11
05-01-2021,140,3, ,2,11
06-01-2021,175,14,10,4,9
07-01-2021,168,12,16,6,5
08-01-2021,166,13,12,3,7
09-01-2021,179,18,7,3,4
10-01-2021,177,21,11,4,6
11-01-2021,174,21,18,5,11
12-01-2021,190,12,21,4,21
13-01-2021,243,22,31,18,24
14-01-2021,347,16,29,20,24
15-01-2021,334,11,17,3,18
16-01-2021,209,12,17,3,14
17-01-2021,230,16,20,4,21
18-01-2021,232,7,16,2,19
19-01-2021,252,15,13,2,8
20-01-2021,163,26,19,3,14
21-01-2021,179,19,22,4,20
22-01-2021,245,15,14,7,12
23-01-2021,188,11,12,3,12
24-01-2021,199,20,12,4,11
25-01-2021,193,27,19,3,11
26-01-2021,203,25,24,4,14
27-01-2021,205,24,27,4,17
28-01-2021,257,21,24,2,10
29-01-2021,217,23,25,4,12
30-01-2021,184,18,31,5,15
31-01-2021,209,19,31,4,18
01-02-2021,207,11,42,5,19
02-02-2021,261,12,20,6,10
03-02-2021,185,11,21,3,13
04-02-2021,186,12,16,3,11
05-02-2021,159,13,13,3,11
06-02-2021,159,15,16,4,13
07-02-2021,175,16,25,4,19
08-02-2021,200,13,30,4,20
09-02-2021,214,15,24,3,12
10-02-2021,185,15,24,4,18
11-02-2021,219,16,34,4,23
12-02-2021,230,15,40,4,19
13-02-2021,210,13,40,6,22
14-02-2021,223,11,43,8,21
15-02-2021,220,18,34,5,18
16-02-2021,203,11,33,5,19
17-02-2021,208,14,42,5,23
18-02-2021,209,9,30,4,19
19-02-2021,227,17,22,5,15
20-02-2021,165,26,20,1,9
21-02-2021,182,33,21,1,7
22-02-2021,185,30,28,5,14
23-02-2021,191,25,26,6,14
24-02-2021,186,30,22,5,14
25-02-2021,191,25,20,4,8
26-02-2021,163,14,18,5,6
27-02-2021,154,36,14,5,5
28-02-2021,173,37,9,8,3
01-03-2021,153,41,7,10,6
02-03-2021,157,37,17,7,11
03-03-2021,155,45,27,6,13
04-03-2021,181,42,15,8,5
05-03-2021,178,43,18,9,7
06-03-2021,155,39,17,5,4
07-03-2021,170,37,13,5,4
08-03-2021,172,31,13,5,9
09-03-2021,176,44,14,7,3
10-03-2021,134,37,20,6,6
11-03-2021,173,20,16,6,5
12-03-2021,149,31,16,6,11
13-03-2021,148,36,15,9,10
14-03-2021,150,28,16,7,8
15-03-2021,164,24,12,9,5
16-03-2021,169,27,19,6,3
17-03-2021,178,32,21,10,8
18-03-2021,185,36,12,8,7
19-03-2021,168,35,16,8,6
20-03-2021,164,35,24,6,7
21-03-2021,169,31,16,6,4
22-03-2021,160,13,16,6,4
23-03-2021,270,31,12,6,3
24-03-2021,182,32,6,12,4
25-03-2021,141,37,11,14,5
26-03-2021,144,39,23,7,8
27-03-2021,166,38,24,7,10
28-03-2021,168,27,11,6,6
29-03-2021,159,37,12,5,5
30-03-2021,178,35,4,7,2
31-03-2021,143,28,5,8,2
